Word,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno
melon,19,19,4.27,4.21,1.51,1.00
monkey,19,19,33.51,4.21,1.40,1.00
peach,19,19,6.35,4.21,1.27,1.00
strawberry,19,19,5.53,4.21,1.44,1.00
alphabet,18,18,2.49,4.22,1.52,1.00
chin,18,18,12.69,4.22,4.10,1.00
clothing,18,18,10.84,4.22,1.93,1.00
cook,18,18,45.57,4.22,1.31,1.00
granny,18,18,8.43,4.22,2.21,1.00
heaven,18,18,56.61,4.22,1.40,1.00
parent,18,18,13.14,4.22,1.93,1.00
rest,18,18,212.96,4.22,2.53,1.00
room,18,18,439.51,4.22,1.44,1.00
scare,18,18,33.57,4.22,1.26,1.00
smell,18,18,83.14,4.22,1.44,1.00
spank,18,18,3.39,4.22,1.99,1.00
stairs,18,18,23.76,4.22,1.86,1.00
stay,18,18,515.65,4.22,2.21,1.00
straw,18,18,6.24,4.22,1.26,1.00
trip,18,18,82.39,4.22,1.90,1.00
watermelon,18,18,2.20,4.22,1.11,1.00
win,19,18,134.65,4.22,1.31,0.95
wrong,18,18,523.10,4.22,1.48,1.00
all,22,22,5161.86,4.24,1.40,1.00
forward,22,22,72.33,4.24,1.33,1.00
long,21,21,675.16,4.24,1.83,1.00
mine,20,20,250.98,4.24,2.42,1.00
two,20,20,1066.35,4.24,2.06,1.00
when,21,21,2034.10,4.24,1.80,1.00
full,21,21,166.90,4.24,1.61,1.00
playtime,21,21,0.94,4.24,1.51,1.00
lunchbox,20,20,0.39,4.25,1.07,1.00
sheep,20,20,13.43,4.25,1.52,1.00
bicycle,19,19,6.61,4.26,1.45,1.00
boogeyman,19,19,0.69,4.26,1.66,1.00
bowl,19,19,21.45,4.26,2.28,1.00
change,19,19,240.35,4.26,1.66,1.00
cute,19,19,87.75,4.26,1.45,1.00
dingdong,19,19,0.06,4.26,1.76,1.00
game,19,19,233.84,4.26,1.82,1.00
pain,19,19,97.94,4.26,1.52,1.00
pancake,19,19,3.96,4.26,1.41,1.00
push,19,19,70.55,4.26,1.85,1.00
rainbow,19,19,7.98,4.26,1.59,1.00
scary,19,19,26.20,4.26,1.97,1.00
sip,19,19,5.10,4.26,1.37,1.00
song,19,19,93.69,4.26,1.73,1.00
taste,19,19,51.31,4.26,1.76,1.00
tell,19,19,1724.49,4.26,2.05,1.00
wave,19,19,21.25,4.26,1.59,1.00
whisper,19,19,7.90,4.26,1.85,1.00
pajama,37,37,1.27,4.27,3.23,1.00
bag,18,18,94.04,4.28,1.56,1.00
behave,18,18,16.24,4.28,1.60,1.00
bleed,18,18,10.10,4.28,1.56,1.00
body,18,18,195.53,4.28,2.32,1.00
dresser,18,18,3.57,4.28,1.56,1.00
end,18,18,265.86,4.28,2.61,1.00
give,18,18,1167.82,4.28,1.93,1.00
kid,18,18,339.20,4.28,1.56,1.00
lettuce,18,18,3.39,4.28,1.41,1.00
mess,18,18,78.14,4.28,1.45,1.00
playground,18,18,5.10,4.28,1.60,1.00
sidewalk,18,18,5.47,4.28,1.60,1.00
boohoo,19,17,0.10,4.29,1.90,0.89
bowwow,19,17,0.06,4.29,2.76,0.89
nana,18,17,3.96,4.29,5.05,0.94
box,20,20,89.75,4.30,1.66,1.00
glove,20,20,10.10,4.30,1.63,1.00
ketchup,20,20,6.08,4.30,1.78,1.00
lick,20,20,10.96,4.30,1.53,1.00
stink,20,20,13.20,4.30,1.98,1.00
wait,20,20,830.25,4.30,1.89,1.00
ant,19,19,5.35,4.32,1.57,1.00
applesauce,19,19,0.59,4.32,2.81,1.00
can,19,19,5247.45,4.32,2.26,1.00
cough,19,19,8.78,4.32,2.11,1.00
elf,19,19,3.78,4.32,2.40,1.00
frog,19,19,11.82,4.32,1.45,1.00
shiny,19,19,7.80,4.32,1.67,1.00
short,19,19,85.63,4.32,1.73,1.00
sign,19,19,133.27,4.32,1.45,1.00
smelly,19,19,4.14,4.32,2.00,1.00
stove,19,19,7.59,4.32,1.86,1.00
cheese,18,18,39.04,4.33,1.75,1.00
cola,18,18,5.53,4.33,1.97,1.00
dot,18,18,6.63,4.33,1.41,1.00
granddaddy,21,21,2.29,4.33,2.03,1.00
spaghetti,18,18,5.92,4.33,1.19,1.00
stinker,19,18,2.06,4.33,2.11,0.95
summer,18,18,78.67,4.33,1.68,1.00
toothbrush,21,21,5.00,4.33,1.83,1.00
watch,18,18,330.02,4.33,1.61,1.00
christmas,20,20,122.43,4.35,2.09,1.00
glasses,22,22,33.12,4.35,1.29,1.00
god,22,22,903.16,4.35,2.38,1.00
last,21,21,723.10,4.35,1.83,1.00
ma,20,20,185.80,4.35,2.74,1.00
next,21,21,452.75,4.35,1.86,1.00
our,22,22,1400.49,4.35,1.53,1.00
right,22,22,4008.39,4.35,1.59,1.00
you,20,20,41857.12,4.35,1.88,1.00
bump,20,20,12.35,4.35,1.60,1.00
tickle,20,20,4.80,4.35,2.60,1.00
balloon,19,19,8.67,4.37,1.95,1.00
hamster,19,19,2.14,4.37,1.67,1.00
start,19,19,340.10,4.37,1.74,1.00
take,19,19,1891.04,4.37,1.89,1.00
age,21,21,79.20,4.38,1.36,1.00
kindergarten,21,21,3.82,4.38,0.59,1.00
winter,21,21,26.22,4.38,1.66,1.00
first,22,22,840.57,4.39,1.31,1.00
for,22,22,6895.10,4.39,1.97,1.00
hers,22,22,15.73,4.39,1.48,1.00
grandfather,18,18,24.33,4.39,1.82,1.00
hard,18,18,307.84,4.39,2.15,1.00
stand,18,18,226.20,4.39,1.79,1.00
table,18,18,105.63,4.39,2.12,1.00
it,21,21,18896.31,4.40,1.95,1.00
ladder,21,21,9.25,4.40,1.70,1.00
juice,20,20,26.88,4.40,2.21,1.00
stupid,20,20,184.41,4.40,1.47,1.00
wheel,20,20,27.06,4.40,2.09,1.00
playpen,18,17,0.69,4.41,2.29,0.94
afraid,19,19,247.67,4.42,1.71,1.00
bring,19,19,327.16,4.42,2.46,1.00
clock,19,19,58.63,4.42,1.46,1.00
icky,19,19,1.20,4.42,1.92,1.00
